circuit_size,circuit_nodes,sampling,cs_type,n,mu_hat,radius,lcb_mu,ucb_mu
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,100,0.9546505172436822,0.05760959554960149,0.884780808900797,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,200,0.9586711869801791,0.19224473002972509,0.766426456950454,1.1509159170099041
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,200,0.9586711869801791,0.034867087669005925,0.9225469423474953,0.9922811176855072
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,500,0.9557380466859168,0.12890227287922065,0.8268357738066962,1.0846403195651375
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,500,0.9557380466859168,0.016217281946532935,0.9394046328021242,0.97183919669519
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,1000,0.9553439278539153,0.09487383810763891,0.8604700897462764,1.0502177659615541
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,1000,0.9553439278539153,0.009254722481164546,0.9453219712132969,0.963831416175626
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,hoeffding,2000,0.9591134687135264,0.06962108997220032,0.8894923787413261,1.0287345586857268
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,iid,betting,2000,0.9591134687135264,0.00551899793715549,0.9532960919463507,0.9643340878206617
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,10,0.9273998284849918,0.9471627848890888,-0.019762956404096976,1.8745626133740805
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,10,0.9273998284849919,0.5,0.0,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,20,0.9517154880990819,0.7206163852412719,0.23109910285781,1.6723318733403538
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,20,0.9517154880990818,0.2675786062903781,0.4648427874192438,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,50,0.9351854871300085,0.49509071045660724,0.44009477667340124,1.4302761975866156
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,50,0.9351854871300085,0.12563184730749866,0.7487363053850027,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,100,0.9764139995647912,0.36973404849698116,0.60667995106781,1.3461480480617725
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,100,0.976413999564791,0.06384974024567125,0.8723005195086575,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,200,0.9746727227167448,0.274635328613893,0.7000373941028517,1.2493080513306378
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,200,0.974672722716744,0.04870300136323663,0.9025939972735267,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,500,0.9796283844099293,0.18414610411317237,0.7954822802967569,1.1637744885231016
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,500,0.9796283844099243,0.0395435676061508,0.9209128647876984,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,1000,0.9670302423822517,0.13553405443948416,0.8314961879427675,1.1025642968217357
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,1000,0.9670302423822574,0.035918149518365805,0.9281637009632684,1.0
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,hoeffding,2000,0.9594356998121776,0.09945869996028617,0.8599769998518914,1.0588943997724638
7,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10,adaptive,betting,2000,0.9594356998121616,0.029897698558929042,0.9308367978409845,0.9906321949588426
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,10,0.9830470463146899,0.6630139494223621,0.32003309689232773,1.646060995737052
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,10,0.9830470463146899,0.40444931510887794,0.19110136978224407,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,20,0.9783921864247447,0.5044314696688903,0.4739607167558544,1.482823656093635
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,20,0.9783921864247447,0.1824323426577673,0.6351353146844654,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,50,0.9516055782685211,0.34656349731962505,0.6050420809488961,1.298169075588146
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,50,0.9516055782685211,0.0906568472752704,0.8186863054494592,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,100,0.9655439156304293,0.2588138339478868,0.7067300816825425,1.2243577495783162
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,100,0.9655439156304293,0.05144182328330782,0.8971163534333844,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,200,0.9696830904158945,0.19224473002972509,0.7774383603861694,1.1619278204456196
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,200,0.9696830904158945,0.03275112438593242,0.9344977512281352,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,500,0.9685000192082865,0.12890227287922065,0.8395977463290659,1.0974022920875073
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,500,0.9685000192082865,0.015651164248026206,0.9527169683581516,0.984019296854204
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,1000,0.9675904462671776,0.09487383810763891,0.8727166081595387,1.0624642843748164
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,1000,0.9675904462671776,0.008932945997712716,0.9581117922983128,0.9759776842937382
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,hoeffding,2000,0.9703271846490927,0.06962108997220032,0.9007060946768924,1.0399482746212931
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,iid,betting,2000,0.9703271846490927,0.00530101872769817,0.9647527189352807,0.975354756390677
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,10,0.9499737441172147,0.9471627848890888,0.002810959228125909,1.8971365290063034
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,10,0.9499737441172145,0.5,0.0,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,20,0.9667078289021024,0.7206163852412719,0.24609144366083047,1.6873242141433744
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,20,0.9667078289021024,0.26040290428380053,0.479194191432399,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,50,0.9494880069371459,0.49509071045660724,0.4543972964805386,1.4445787173937532
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,50,0.9494880069371455,0.118182267229896,0.763635465540208,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,100,0.9857132913150514,0.36973404849698116,0.6159792428180701,1.3554473398120326
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,100,0.9857132913150519,0.058094034492769175,0.8838119310144616,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,200,0.9886976533433948,0.274635328613893,0.7140623247295017,1.2633329819572878
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,200,0.9886976533433959,0.042043170311297784,0.9159136593774044,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,500,0.9892811813151423,0.18414610411317237,0.80513507720197,1.1734272854283148
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,500,0.9892811813151406,0.034795113437347314,0.9304097731253054,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,1000,0.9800832045176212,0.13553405443948416,0.844549150078137,1.1156172589571054
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,1000,0.9800832045176329,0.0323309025318082,0.9353381949363836,1.0
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,hoeffding,2000,0.9740426743312134,0.09945869996028617,0.8745839743709272,1.0735013742914996
9,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0,adaptive,betting,2000,0.9740426743312358,0.02995187960205592,0.9400962407958882,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,10,0.9836523871681653,0.6630139494223621,0.32063843774580314,1.6466663365905274
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,10,0.9836523871681653,0.4041090516888334,0.19178189662233325,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,20,0.9786227057984664,0.5044314696688903,0.47419123612957614,1.4830541754673567
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,20,0.9786227057984664,0.18230898947353558,0.6353820210529288,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,50,0.9520073309441435,0.34656349731962505,0.6054438336245185,1.2985708282637685
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,50,0.9520073309441435,0.09040776511941828,0.8191844697611634,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,100,0.9659050913355215,0.2588138339478868,0.7070912573876347,1.2247189252834083
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,100,0.9659050913355215,0.05121507942361764,0.8975698411527647,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,200,0.9699229316842751,0.19224473002972509,0.77767820165455,1.1621676617140002
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,200,0.9699229316842751,0.0325911555717045,0.934817688856591,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,500,0.9688638945543776,0.12890227287922065,0.839961621675157,1.0977661674335983
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,500,0.9688638945543776,0.01560313006075098,0.9531192649202769,0.9843255250417788
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,1000,0.9679742373598852,0.09487383810763891,0.8731003992522463,1.062848075467524
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,1000,0.9679742373598852,0.00894076435796376,0.9585213639481676,0.9764028926640951
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,hoeffding,2000,0.9707383848230574,0.06962108997220032,0.9011172948508571,1.0403594747952578
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,iid,betting,2000,0.9707383848230574,0.005291843752381564,0.9651911813758491,0.9757748688806123
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,10,0.9505965225678296,0.9471627848890888,0.003433737678740778,1.8977593074569183
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,10,0.9505965225678297,0.5,0.0,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,20,0.9670877399201293,0.7206163852412719,0.2464713546788574,1.6877041251614013
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,20,0.9670877399201294,0.2602976764628967,0.4794046470742066,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,50,0.9500313557088218,0.49509071045660724,0.45494064525221456,1.4451220661654292
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,50,0.9500313557088214,0.11793477766324306,0.7641304446735139,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,100,0.986196400699864,0.36973404849698116,0.6164623522028829,1.3559304491968451
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,100,0.9861964006998633,0.05786992723140427,0.8842601455371915,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,200,0.9893263557843232,0.274635328613893,0.7146910271704301,1.2639616843982162
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,200,0.9893263557843245,0.04175196037902812,0.9164960792419438,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,500,0.9903207902361008,0.18414610411317237,0.8061746861229284,1.174466894349273
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,500,0.9903207902361008,0.03434024213076592,0.9313195157384682,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,1000,0.9793569412949958,0.13553405443948416,0.8438228868555117,1.11489099573448
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,1000,0.9793569412949983,0.032785798181872605,0.9344284036362548,1.0
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,hoeffding,2000,0.9739269312274836,0.09945869996028617,0.8744682312671974,1.0733856311877699
11,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9,adaptive,betting,2000,0.9739269312274912,0.030223217979464034,0.9395535640410719,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,10,0.9853041789876331,0.6630139494223621,0.322290229565271,1.6483181284099953
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,betting,10,0.9853041789876331,0.4031775068255561,0.19364498634888788,1.0
13,L9H9;L10H0;L9H6;L7H3;L7H9;L8H6;L8H10;L0H1;L3H0;L5H5;L6H9;L2H2;L4H11,iid,hoeffding,20,0.9796174682123763,0.5044314696688903,0.475185998543486,1.4840489378812665
