method,keep,mask_p,sampling,cs_type,n,r_hat,radius,lcb_f,ucb_f
cip-affine,384,0.2,adaptive,betting,1000,0.030708813260396706,0.023454776706078522,0.9409973519127892,0.9879069053249463
cip-affine,384,0.2,adaptive,betting,2000,0.02327927041899238,0.013143216459480068,0.9615283239710986,0.9878147568900587
cip-affine,384,0.2,adaptive,betting,5000,0.026862664771810513,0.009023474763675625,0.962881607807506,0.9809285573348572
cip-affine,384,0.2,adaptive,betting,10000,0.026721832647021843,0.006542404568764683,0.9660909501863735,0.9791757593239029
cip-affine,384,0.5,iid,hoeffding,50,0.3,0.34656349731962505,0.35343650268037496,1.0
cip-affine,384,0.5,iid,hoeffding,100,0.31,0.25881383394788676,0.43118616605211324,0.9488138339478868
cip-affine,384,0.5,iid,hoeffding,200,0.295,0.19224473002972509,0.5127552699702749,0.897244730029725
cip-affine,384,0.5,iid,hoeffding,500,0.326,0.12890227287922065,0.5450977271207793,0.8029022728792207
cip-affine,384,0.5,iid,hoeffding,1000,0.31,0.09487383810763891,0.5951261618923611,0.7848738381076389
cip-affine,384,0.5,iid,hoeffding,2000,0.3145,0.06962108997220032,0.6158789100277997,0.7551210899722003
cip-affine,384,0.5,iid,hoeffding,5000,0.3056,0.046066219879014554,0.6483337801209854,0.7404662198790146
cip-affine,384,0.5,iid,hoeffding,10000,0.3049,0.03362087186595333,0.6614791281340466,0.7287208718659534
cip-affine,384,0.5,iid,betting,50,0.3,0.20503196716308597,0.5034187316894531,0.913482666015625
cip-affine,384,0.5,iid,betting,100,0.31,0.1347974395751953,0.5650364685058594,0.83463134765625
cip-affine,384,0.5,iid,betting,200,0.295,0.09615907669067375,0.6087585067749025,0.80107666015625
cip-affine,384,0.5,iid,betting,500,0.326,0.06383230590820316,0.6090024414062499,0.7366670532226562
cip-affine,384,0.5,iid,betting,1000,0.31,0.046611709594726575,0.6429057312011719,0.7361291503906251
cip-affine,384,0.5,iid,betting,2000,0.3145,0.03529823493957515,0.6499834098815918,0.7205798797607421
cip-affine,384,0.5,iid,betting,5000,0.3056,0.02337761230468749,0.670866943359375,0.71762216796875
cip-affine,384,0.5,iid,betting,10000,0.3049,0.01750859909057617,0.677482795715332,0.7124999938964844
cip-affine,384,0.5,adaptive,hoeffding,50,0.4000000095541645,0.49509071045660724,0.10490927998922828,1.0
cip-affine,384,0.5,adaptive,hoeffding,100,0.37142858123046885,0.3697340484969811,0.25883737027255005,0.9983054672665123
cip-affine,384,0.5,adaptive,hoeffding,200,0.33571432573486715,0.274635328613893,0.3896503456512399,0.9389210028790258
cip-affine,384,0.5,adaptive,hoeffding,500,0.2828572746660139,0.18414610411317237,0.5329966212208137,0.9012888294471585
cip-affine,384,0.5,adaptive,hoeffding,1000,0.32000007731403496,0.13553405443948416,0.5444658682464809,0.8155339771254492
cip-affine,384,0.5,adaptive,hoeffding,2000,0.31357154687300176,0.09945869996028617,0.5869697531667121,0.7858871530872844
cip-affine,384,0.5,adaptive,hoeffding,5000,0.3042858541419953,0.06580888554144937,0.6299052603165554,0.7615230313994541
cip-affine,384,0.5,adaptive,hoeffding,10000,0.3022863217954198,0.04802981695136191,0.6496838612532183,0.7457434951559421
cip-affine,384,0.5,adaptive,betting,50,0.40000000001742125,0.32465471540532326,0.24945765902869443,0.898767089839341
cip-affine,384,0.5,adaptive,betting,100,0.37142857237492166,0.20756127508862968,0.4093307487616319,0.8244532989388913
cip-affine,384,0.5,adaptive,betting,200,0.33571431773081495,0.140106886365851,0.5140628538541512,0.7942766265858532
cip-affine,384,0.5,adaptive,betting,500,0.282857267922174,0.07699455302963132,0.6346966264012226,0.7886857324604852
cip-affine,384,0.5,adaptive,betting,1000,0.3200000696846405,0.06474806039379305,0.6137167139182971,0.7432128347058832
cip-affine,384,0.5,adaptive,betting,2000,0.31357153939687643,0.048861768312947945,0.6360258243165084,0.7337493609424044
cip-affine,384,0.5,adaptive,betting,5000,0.3042858469076945,0.03201630674819275,0.663059160344855,0.7270917738412405
cip-affine,384,0.5,adaptive,betting,10000,0.30228631460539673,0.02344261086536442,0.6739372044502062,0.7208224261809351
cip-affine,256,0.1,iid,hoeffding,50,0.02,0.34656349731962505,0.633436502680375,1.0
cip-affine,256,0.1,iid,hoeffding,100,0.01,0.25881383394788676,0.7311861660521133,1.0
cip-affine,256,0.1,iid,hoeffding,200,0.015,0.19224473002972509,0.7927552699702749,1.0
cip-affine,256,0.1,iid,hoeffding,500,0.014,0.12890227287922065,0.8570977271207794,1.0
cip-affine,256,0.1,iid,hoeffding,1000,0.013,0.09487383810763891,0.892126161892361,1.0
cip-affine,256,0.1,iid,hoeffding,2000,0.014,0.06962108997220032,0.9163789100277997,1.0
cip-affine,256,0.1,iid,hoeffding,5000,0.0156,0.046066219879014554,0.9383337801209855,1.0
cip-affine,256,0.1,iid,hoeffding,10000,0.0162,0.03362087186595333,0.9501791281340467,1.0
cip-affine,256,0.1,iid,betting,50,0.02,0.09031585693359379,0.8193682861328124,1.0
cip-affine,256,0.1,iid,betting,100,0.01,0.046209716796874994,0.90758056640625,1.0
cip-affine,256,0.1,iid,betting,200,0.015,0.03276903152465821,0.9344619369506836,1.0
cip-affine,256,0.1,iid,betting,500,0.014,0.020393959045410158,0.9592120819091797,1.0
cip-affine,256,0.1,iid,betting,1000,0.013,0.013466869354248047,0.9707874526977539,0.99772119140625
cip-affine,256,0.1,iid,betting,2000,0.014,0.009540153503417968,0.9746032867431641,0.99368359375
